File Path,Piece Tital,Composer
waltzes_39_10_(c)yogore,Brahms - 16 Waltzes Op. 39,Brahms
valse_70_1_(c)dery,"Chopin Waltz Op.70 No.1 (version 1) P. Barton, FEURICH 218 piano",Chopin
nachtstucke_23_1_(c)lefeldt,Richter live in Stockholm - Schumann:  Vier Nachtstücke op 23 (1),Schumann
etude_25_9_(c)unknown,Chopin - Etude Op. 25 No. 9 (Butterfly),Chopin
etude_en_forme_de_canon_(c)luquet,Schumann=Debussy: 6 Etudes En Forme de Canon Op.56,Schumann
nocturne_15_3_(c)unknown,Chopin Nocturne Op. 15 No. 3 in G minor (Arthur Rubinstein),Chopin
sonata_53_3_(c)yogore,"Tiffany Poon plays Haydn Sonata No.53 in E Minor, Hob XVI:34",
piano_concerto_1_(c)galimberti,"Tchaikovsky: Piano Concerto No. 1, Op. 23 - Anna Fedorova - Live Concert HD",
la_ci_darem_la_mano_(c)halstead,Mozart - La Ci Darem La Mano (English Subtitles),
carnaval_op_9_(c)finley,"Schumann - Carnaval, op. 9 - Boris Giltburg",Schumann
prelude_28_1_(c)unknown,F. Chopin : Prelude op. 28 no. 1 in C Major (Kissin),Chopin
march_military_2_(c)yogore,Combat Medic Essentials │ Part 2: The M.A.R.C.H. Algorithm,
impromptu_124_9_(c)fallen,Jörg Demus plays Schumann Albumblätter Op.124 - 9. Impromptu,Schumann
strings_13-3_(c)onclassical,.07 Gauge Guitar Strings Sound Absolutely Ridiculous,
hungarian_rhapsody_8_(c)yogore,Liszt - Hungarian Rhapsody No. 8 (Audio+Sheet) [Cziffra],Liszt
fugue_126_3_(c)yogore,"Prelude and Fugue No. 3, BWV 848 // J.S. BACH",
marches_121_1_(c)yogore,Dig This (Dig It) 121-1 to 121-20 Chapter 121 ACCELERATOR All Levels Walkthrough Solutions,
symphony_5_4_(c)lucarelli,"Beethoven -5th Symphony, 4th movement: Allegro; Presto",Beethoven
variations_haydn_56a_6_(bakels),"Brahms: Variations On A Theme By Haydn, Op. 56a",Brahms
ein_deutsch_requeim_45_3_(c)petri,"Ein deutsches Requiem, Op. 45: III. &quot;Herr, lehre doch mich&quot;",
polonaise_posth_gs-_(c)dery,Chopin : Polonaise in G minor - Posthumous,Chopin
nocturne_55_2_(c)unknown,Chopin Nocturne Op.55 No.2 By Arthur Rubinstein (16/154),Chopin
waltzes_39_14_(c)yogore,Chenyin Li plays Brahms Waltz Op 39 No 14,Brahms
etude_10_6_(c)unknown,Pollini plays Chopin Etude Op.10 No.6,Chopin
variations_haydn_56a_1_(bakels),"Brahms: Variations On A Theme By Haydn, Op. 56a",Brahms
quartet_41-3_4_(c)onclassical,"Robert Schumann - String Quartet No.3, Op. 41/3 (with score)",Schumann
ein_deutsch_requeim_45_4_(c)petri,"Ein deutsches Requiem, Op. 45: 4. Wie lieblich sind deine Wohnungen",
valse_42_(c)dery,Eric Lu – Waltz in A flat major Op. 42 (second stage),
symphony_9_3_(c)lucarelli,Beethoven Symphony No. 9 - Mvt. 3 - Barenboim/West-Eastern Divan Orchestra,Beethoven
fugue_126_7_(c)yogore,Short Fugue No.7 (piano) #shorts,
valse_posth_Ab_(c)dery,"Chopin – Waltz in A minor, B. 150, Op. Posth.",Chopin
variations_35_1_(pepperdine),PEPPERDINE CAMPUS TOUR 2017!! &amp; COLLEGE STORIES {A Short Film},
christmas_tree_suite_1_(c)halstead,Liszt - Christmas Tree Suite - No.1 &quot;An Old Christmas Carol&quot;,Liszt
ballade_47_(c)lubetsky,Chopin: Ballade Op.47 No.3 in A-flat Major (Glemser),Chopin
concerto_11_1_(c)oguri,"Chopin Piano Concerto No. 1 in e minor, Op. 11 (Zimerman)",Chopin
etude_25_1_(c)unknown,"Daniel Barenboim – Chopin: Étude Op. 25 No.1 in A flat Major (Live from Pierre Boulez Saal, 2020)",Chopin
valse_69_2_(c)dery,"Chopin Valse Op.69 No.2 Paul Barton, FEURICH piano",Chopin
sonata_129_1_(c)onclassical,129 1 hours classical easy sonata,
sonata_D840_(c)hisamori,"Franz Schubert - Piano Sonata in C Major &quot;Reliquie&quot;, D.840",Schubert
ballade_10_3_(c)dery,Mega Man 10: Special Stage 3 (Ballade),
mazurka_24_4_(c)yogore,Chopin Mazurka Op.24 No.4 By Arthur Rubinstein (36/154),Chopin
quartet_41-2_1_(c)onclassical,"Robert Schumann - String Quartet No.2, Op. 41/2 (with score)",Schumann
consolation_2_(c)halstead,Liszt             Consolation No 2 in E Major            Horowitz,Liszt
fantasie_17_2_(c)oguri,"Fantasy in C Major, Op. 17: II. Massig. Durchaus energisch",
ruh_(c)yogore,Rota x Defkhan - RUH (Official Music Video),
prelude_28_15_(c)unknown,Chopin - Raindrop Prelude (Op. 28 No. 15),Chopin
nocturne_9_2_(c)unknown,Chopin - Nocturne in E Flat Major (Op. 9 No. 2),Chopin
etude_10_9_(c)unknown,Chopin - Etude Op.10 No.9,Chopin
strings_10-2_(c)onclassical,10 2 String Guitar Songs Part 3   Beginners Guitar Songs   Easy songs to play on guitar,
polonaise_posth_71_1_(c)dery,"Kamil Pacholec – F. Chopin, Polonaise in D minor [Op. 71 No. 1] (First stage)",Chopin
sonate_b_(c)hisamori,Liszt: Sonata in B Minor (Zimerman),Liszt
polonaise_26_2_(c)dery,"Kissin,Chopin Polonaise,op 26 no 2 in E flat Minor,full score, partitura",Chopin
hymne_(c)yogore,Hymne - Era (lyrics),
sonata_122_2_(c)yogore,"Sonata E-flat major op. 122, II: Andante molto",
etude_10_1_(c)unknown,Chopin - Etude Op. 10 No. 1 (Waterfall),Chopin
nocturne_c_sharp_minor_(c)inoue,Chopin - Nocturne in C Sharp Minor (No. 20),Chopin
polonaise_fantasie_(c)galimberti,Chopin: Polonaise-Fantaisie Op.61 in A-flat (Richter),Chopin
piano_sonata_3_(hisamori),Paul Hindemith - Piano Sonata No. 3,
mazurka_30_2_(c)yogore,Chopin Mazurka Op.30 No.2 By Arthur Rubinstein (38/154),Chopin
christmas_tree_suite_11_(c)halstead,1941 (4/11) Movie CLIP - Japanese Christmas Trees (1979) HD,
strings_15-2_(c)onclassical,15 1 String Guitar Songs Part 2   Beginners Guitar Songs   Easy Songs to Play on Guitar,
symphonic_etude_13a_(c)hisamori,"Robert Schumann - Symphonic Etudes, Op. 13",Schumann
hungarian_dance_4_(c)yogore,Johannes Brahms - Hungarian Dance No. 4 - Poco sostenuto - Vivace,Brahms
rose_(c)yogore,SAINt JHN - Roses (Imanbek Remix) (Official Music Video),
etude_25_6_(c)unknown,Chopin - Etude Op. 25 No. 6 in G♯ minor &quot;Double Thirds&quot;,Chopin
toccata_op_7_(c)siu,"Schumann: Toccata in C, Op.7 (Pogorelich)",Schumann
ein_deutsch_requeim_45_5_(c)petri,"Brahms: Ein deutsches Requiem, Op.45 - 5. Solo (Sopran) und Chor: &quot;Ihr habt nun Traurigkeit&quot;",Brahms
piano_sonata_2_(hisamori),"Rachmaninoff: Piano Sonata No.2, Op.36 (Lugansky, Kocsis)",
symphony_10_1_(c)prengel,Mahler compl Cooke Symphony No 10 (Mvt 1: Adagio) – Sir Simon Rattle/London Symphony Orchestra,
tage_aller_seelen_(c)yogore,"Am Tage Aller Seelen, D. 343",
ein_deutsch_requeim_45_2_(c)petri,"Ein deutsches Requiem, Op. 45: II. &quot;Denn alles Fleisch es ist wie Gras&quot;",
variations_haydn_56a_7_(bakels),Brahms - Variazioni su tema di Haydn op. 56a (score),Brahms
concerto_2_21_3_(c)finley,"Chopin: Piano Concerto No.2 In F Minor, Op.21 - 3. Allegro vivace",Chopin
etude_25_7_(c)unknown,F. Chopin: Etude op. 25 no. 7 in C sharp minor (Horowitz),Chopin
impromptu_51_(c)finley,Kate Liu – Impromptu in G flat major Op. 51 (third stage),
hungarian_dance_3_(c)yogore,Johannes Brahms - Hungarian Dance 3,Brahms
strings_15-1_(c)onclassical,15 1 String Guitar Songs – Beginners Guitar Songs – Easy Songs to Play on Guitar,
polonaise_posth_Bb_(c)dery,Chopin : Polonaise in B flat Major - Posthumous,Chopin
quartet_41-2_2_(c)onclassical,"Robert Schumann - String Quartet No.2, Op. 41/2 (with score)",Schumann
christmas_tree_suite_9_(c)halstead,Franz Liszt - Christmas Tree suite: IX - Abendglocken,Liszt
mazurka_24_3_(c)yogore,Chopin Mazurka Op.24 No.3 By Arthur Rubinstein (35/154),Chopin
violin_concert_1_(c)unknown,Bruch: 1. Violinkonzert ∙ hr-Sinfonieorchester ∙ Hilary Hahn ∙ Andrés Orozco-Estrada,
sonata_122_1_(c)yogore,Sonata Op.122 N.1 in Mib Maggiore - Marzia Gaggioli,
variations_21_2_(hisamori),"Variations on a Theme of Chopin, Op. 22: XXII. Var. 21. Andante-Più Vivo",Chopin
strings_10-1_(c)onclassical,You’re Probably Using The WRONG Guitar Strings,
consolation_5_(c)halstead,Horowitz plays Liszt Consolation No.5 in E,Liszt
march_heroiques_2_(c)yogore,"4 Marches R354, S642 2. March in E flat minor No. 2 (Funeral March)",
etude_10_8_(c)unknown,Chopin - Etude Op.10 No.8 &quot;Sunshine&quot;,Chopin
hungarian_dance_7_(c)yogore,Johannes Brahms - Hungarian Dance No. 7 - Allegretto - Vivo,Brahms
nocturne_9_3_(c)unknown,Chopin Nocturne Op. 9 No. 3 in B Major (Arthur Rubinstein),Chopin
nocturne_c-_(c)unknown,Chopin - Nocturne in C Sharp Minor (No. 20),Chopin
etude_10_7_(c)unknown,Chopin - Etude Op.10 No.7 &quot;Toccata&quot;,Chopin
prelude_28_8_(c)unknown,Seong-Jin Cho – Prelude in F sharp minor Op. 28 No. 8 (third stage),
valse_64_1_(c)dery,Chopin - Minute Waltz (Op. 64 No. 1),Chopin
meeresstille_(c)yogore,&quot;Meeresstille&quot; von Goethe,
waltzes_39_13_(c)yogore,Brahms - 16 Waltzes Op. 39,Brahms
symphony_6_4_(c)lucarelli,"Ludwig Van Beethoven - Symphony No. 6, Op.68 - 4th &amp; 5th Movement",Beethoven
christmas_tree_suite_6_(c)halstead,"Franz Liszt - Weihnachtsbaum, S. 186",Liszt
concerto_15_1_(c)lucarelli,"Beethoven: Piano Concerto No.1 in C, Op.15 (Anderszewski)",Beethoven
sonata_143_3_(c)yogore,Piano Sonata N°14 D.784 Op.143 3#mov / Franz Schubert (piano tutorial),Schubert
strings_11-4_(c)onclassical,Nadja Salerno-Sonnenberg with the Loyola Strings 11/4/2017,
march_military_1_(c)yogore,Schubert - Military March,Schubert
sonata_129_2_(c)onclassical,"Clarinet Sonata, Op. 129: II. Caoine: Adagio (quasi fantasia)",
wasser_(c)yogore,Wasser: Worauf es beim Trinken ankommt (Ganze Folge) I Quarks,
nocturne_15_2_(c)unknown,"Krystian Zimerman – Chopin: Nocturne in F-Sharp Major, Op. 15 No. 2",Chopin
quartet_41-1_3_(c)onclassical,Quatuor Ebène : Robert Schumann  String quartet Nr. 3 a-minor Op. 41/3,Schumann
ballade_23_(c)lubetsky,"Krystian Zimerman - Chopin - Ballade No. 1 in G minor, Op. 23",Chopin
waltzes_39_8_(c)yogore,"Tchaikovsky : Waltz Op. 39, No. 9",
marches_121_2_(c)yogore,"Schubert, 2 Marches Caractéristiques, D.968b (D.886) Op. posth. 121 No.2",Schubert
hungarian_dance_20_(c)yogore,Johannes Brahms - Hungarian Dance No. 20 - Poco allegretto - Vivace,Brahms
sonata_53_4_(c)yogore,"Tiffany Poon plays Haydn Sonata No.53 in E Minor, Hob XVI:34",
sonate_58_(c)finley,"Daniil Trifonov – Sonata in B minor, Op. 58 (third stage, 2010)",
hungarian_dance_19_(c)yogore,Johannes Brahms - Hungarian Dance No. 19 - Allegretto,Brahms
fantasie_17_3_(c)oguri,Vladimir Horowitz plays Schumann Fantasie op. 17 in C major [3/3],Schumann
strings_14-4_(c)onclassical,CUERDAS DEL CORAZON CAPITULO 14-4 SubEspañol,
sonata_120_3_(c)yogore,"[J.Brahms: Clarinet Sonata, Op.120-2 / mov.3] -Piano part only- Play With Shams",Brahms
fugue_126_4_(c)yogore,the Fugue in Cmaj Op.126-4,
strings_11-2_(c)onclassical,"Barber: Adagio For Strings, Op.11 - 2. Molto adagio",
grand_marches_40_3_(c)yogore,"Schubert, 6 Grandes Marches, D.819 Op.40 No.3",Schubert
fugue_72_2_(c)yogore,Robert Schumann Fugue 2 Op. 72,Schumann
waltzes_39_2_(c)yogore,Brahms Waltzes Op. 39 Nos. 1-4 - Evgeny Kissin,Brahms
fantasie_49_(c)galimberti,"Krystian Zimerman – Chopin: Fantasie in F Minor, Op. 49",Chopin
waltz_39_15_(c)oguri,"Brahms Waltz in A-Flat Major, Op. 39 No. 15 - Evgeny Kissin",Brahms
carnaval_1-8_(c)oguri,carnaval parte 1/8,
hungarian_dance_13_(c)yogore,Ungarischer Tantz - 13th c,
andante_and_variations_op_46_(c)halstead,"Schumann, Andante and variations for two pianos op. 46",Schumann
symphony_9_2_(c)lucarelli,Beethoven Symphony No. 9 - Mvt. 2 - Barenboim/West-Eastern Divan Orchestra,Beethoven
trio_D898_2_(c)ko-edwards,"Schubert: Piano Trio No.2 in Eb, D.929 (Trio Wanderer)",Schubert
quartet_41-3_1_(c)onclassical,"Robert Schumann - String Quartet No.3, Op. 41/3 (with score)",Schumann
etude_10_5_(c)unknown,Chopin - Etude Op. 10 No. 5 (Black Keys),Chopin
nocturne_55_1_(c)unknown,Chopin - Nocturne Op. 55 No. 1,Chopin
symphony_6_1_(c)lucarelli,"Beethoven: Symphony No. 6 &quot;Pastoral&quot;, first movement - Itzhak Perlman",Beethoven
rondo_138_(c)yogore,Ani &amp; Nia Sulkhanishvili - Schubert: Rondo op.138 - San Marino Piano Competition 2008,Schubert
lob_thranen_(c)yogore,Marcin Dylla plays Lob der Thränen by Franz Schubert on a 1919 Julían Gómez Ramírez,Schubert
sonata_147_2_(c)yogore,"Sonata for Viola and Piano in C Major, Op. 147: II. Allegretto",
carnaval_9-16_(c)oguri,"Carnaval, Op. 9: 16. Valse allemande",
consolation_4_(c)halstead,Horowitz plays Liszt Consolation No.4 in D-flat,Liszt
prelude_28_11_(c)unknown,"Chopin - Prelude in B major, op. 28 no. 11",Chopin
waltzes_39_6_(c)yogore,"Brahms: 16 Waltzes, Op.39 - 6. In C Sharp (Piano Duet Version)",Brahms
scherzo_20_(c)galimberti,20 scherzi a Giamba - Le Iene,
mazurka_68_2_(c)yogore,"Arthur Rubinstein - Chopin Mazurka, Op. 68 No. 2",Chopin
strings_14-2_(c)onclassical,Schubert - String Quartet No. 14 in D minor (Death and the Maiden) - II. Andante con moto,Schubert
winterreise_4_(c)yogore,"Winterreise, D. 911: No. 4, Erstarrung",
sonata_164_1_(c)yogore,"Sonata for Flute and Piano, FP 164: 1. Allegro malinconico",
variations_24_(wolfe),Variations,
christmas_tree_suite_8_(c)halstead,Liszt - Christmas Tree Suite - No.8 &quot;An Ancient Provençal Carol&quot;,Liszt
quartet_41-1_5_(c)onclassical,"Robert Schumann - String Quartet No.1, Op. 41/1 (with score)",Schumann
bilder_4_(c)yogore,Prüfung B1 Bildbeschreibung (4 Bilder) وصف الصورة B1 امتحان,
nachtstucke_23_2_(c)lefeldt,"Nachtstucke, Op. 23: No. 2. Markiert und lebhaft (Kuriose Gesellschaft)",
hungarian_dance_17_(c)yogore,Johannes Brahms - Hungarian Dance No. 17 - Andantino - Vivace,Brahms
polonaise_posth_bb-_(c)dery,Chopin : Polonaise in B flat Major - Posthumous,Chopin
childrens_march_928_(c)yogore,CHILDREN MARCH - D.928 - Schubert,Schubert
mazurka_67_2_(c)yogore,"Arthur Rubinstein - Chopin Mazurka, Op. 67 No. 2",Chopin
mazurka_50_3_(c)yogore,Chopin Mazurka Op.50 No.3 By Arthur Rubinstein (51/154),Chopin
sonata_58_2_(c)finley,"Cello Sonata No. 2, Op. 58: II. Allegretto scherzando",
etude_10_2_(c)unknown,Chopin - Etude Op.10 No.2 &quot;Chromatic&quot;,Chopin
valse_34_1_(c)dery,"Ingolf Wunder – Waltz in A flat major, Op. 34 No. 1 (second stage, 2010)",
symphony_10_3_(c)prengel,Symphony No. 10 &quot;The River of Time&quot;: III. David,
sonate_35_(hisamori),"W.A. MOZART - Sonata in C minor, K  457- Allegro, Adagio, Molto Allegro - CARLO GRANTE piano",
clarinet_quintett_115_2_bakels,"Johannes Brahms - Clarinet Quintet in B minor, Op. 115",Brahms
polonaise_44_(c)dery,Chopin: Polonaise in f sharp minor Op. 44 (Pöntinen),Chopin
christmas_tree_suite_7_(c)halstead,"Liszt - Weihnachtsbaum, S186 (Pöntinen)",Liszt
mazurka_17_3_(c)yogore,Chopin Mazurka Op.17 No.3 By Arthur Rubinstein (31/154),Chopin
andante_polacca_22_(c)finley,Chopin: Andante Spianato and Grande Polonaise Brillante Op.22 (Weissenberg),Chopin
nocturne_9_1_(c)unknown,Chopin - Nocturne Op.9 No.1,Chopin
prelude_28_16_(c)unknown,Chopin - Prelude Op.28 No.16 in B flat minor,Chopin
hungarian_dance_9_(c)yogore,Johannes Brahms - Hungarian Dance No. 9 - Allegro ma non troppo,Brahms
quartet_41-2_4_(c)onclassical,"Robert Schumann - String Quartet No.2, Op. 41/2 (with score)",Schumann
nonne_(c)yogore,Wie schwer fällt Ihnen das Zölibat? 10 Fragen an eine Nonne | Galileo | ProSieben,
winterreise_11-12_(c)yogore,Franz Schubert Winterreise - Ian Bostridge and Julius Drake (Part 11/24),Schubert
hongroise_mov3_(c)yogore,Hector Berlioz - La Damnation de Faust Op. 24 Marche Hongroise,
sonata_58_1_(c)finley,"Frédéric Chopin - Piano Sonata No. 3 in B Minor, Op. 58, 1st Movement (Synthesia)",Chopin
forelle_(c)yogore,"Schubert: &quot;Die Forelle&quot; (Fischer-Dieskau, Moore)",Schubert
strings_10-4_(c)onclassical,Logic Pro X 10 4 Studio Strings,
polonaise_26_1_(c)dery,Chopin Polonaise Op.26 #1 in c sharp minor. Valentina Lisitsa,Chopin
trio_D898_3_(c)ko-edwards,"Trio No. 1 in B-Flat Major, D. 898: III. Scherzo. Allegro",
nachtstucke_23_4_(c)lefeldt,"Schumann - Nachtstück in F major, op.23 no.4 - Emil Gilels",Schumann
variations_21_1_(hisamori),02/24/21 Dawn Patrol: ToTD - Passing Entry Variations Pt. 1 (NoGi),
strings_15-4_(c)onclassical,"Beethoven, String Quartet No.15, Op.132 [4/4]",Beethoven
polonaise_posth_71_2_(c)dery,"Evgeni Bozhanov – Polonaise in B flat major, Op. 71 No. 2 (second stage, 2010)",
valse_posth_e-_(c)dery,Evgeny Kissin - Chopin Valse E  Posthume,Chopin
polonaise_posth_g-_(c)dery,Chopin : Polonaise in G minor - Posthumous,Chopin
hungarian_mass_benedictus_(c)blondel,"Liszt - Benedictus und Offertorium aus der ungarischen Krönungsmesse, S501 (Thomson)",Liszt
symphony_10_2_(c)prengel,Shostakovich Symphony No 10 Mvt 2 // Gianandrea Noseda &amp; London Symphony Orchestra,
piano_sonata_1_(hisamori),"Nikolai Myaskovsky ‒ Piano Sonata No.1, Op.6",
sonata_D568_(c)hisamori,Kempff plays Schubert Piano Sonata in E-flat Major D568,Schubert
variations_haydn_56a_(bakels),Brahms - Variazioni su tema di Haydn op. 56a (score),Brahms
mazurka_17_4_(c)yogore,Chopin Mazurka Op.17 No.4 By Arthur Rubinstein (32/154),Chopin
strings_14-1_(c)onclassical,CUERDAS DEL CORAZÓN CAPÍTULO 14-2 SubEspañol,
nocturne_c_minor_(c)inoue,Chopin - Nocturne in C Sharp Minor (No. 20),Chopin
sonata_D894_1_(c)bucknall,"Schubert: Piano Sonata No.18 in G Major, D.894 (Volodos)",Schubert
valse_69_1_(c)dery,"Chopin - Valse de l&#39;adieu, op. 69 no. 1",Chopin
waltzes_39_1_(c)yogore,Brahms Waltzes Op. 39 Nos. 1-4 - Evgeny Kissin,Brahms
fugue_72_1_(c)yogore,Fugue No.1 Op.72 for Piano - Robert Schumann (arr.Organ),Schumann
winterreise_3_(c)yogore,"Winterreise, D. 911: No. 3, Gefrorene Tränen",
nachtstucke_23_3_(c)lefeldt,"Schumann: Nachtstücke, Op.23 - 3. Mit grosser Lebhaftigkeit",Schumann
rondeau_823_(c)yogore,Bach - Suite in F minor BWV 823 - Haugsand | Netherlands Bach Society,
bilder_3_(c)yogore,3 Bilder Malen DIYs gegen Langeweile - Anfänger Tutorial // I&#39;mJette,
sonata_D958_1_(c)bucknall,Franz Schubert - Piano Sonata D. 958,Schubert
consolation_3_(c)halstead,Liszt - Consolation No. 3,Liszt
variations_24_(hisamori),"24 Variations on &quot;Venni Amore&quot;, WoO 65: Var. 14",
hungarian_dance_10_(c)yogore,Johannes Brahms - Hungarian Dance No. 10 - Presto,Brahms
hungarian_rhapsody_6_(c)yogore,"Liszt - Hungarian Rhapsody No. 6 (1,500,000 SPECIAL)",Liszt
sonata_164_2_(c)yogore,"Flute Sonata, FP 164: II. Cantilena",
winterreise_7_(c)yogore,Franz Schubert Winterreise - Ian Bostridge and Julius Drake (Part 7/24),Schubert
christmas_tree_suite_10_(c)halstead,"Liszt - Weihnachtsbaum, S186 (Pöntinen)",Liszt
grand_marches_40_4_(c)yogore,"Schubert, 6 Grandes Marches, D.819 Op.40 No.4",Schubert
mazurka_68_1_(c)yogore,"Arthur Rubinstein - Chopin Mazurka, Op. 68 No. 1",Chopin
rastlose_(c)yogore,"Schubert: Rastlose Liebe, D 138 - Kiri Te Kanawa",Schubert
waltzes_39_5_(c)yogore,"Brahms Waltz in A-Flat Major, Op. 39 No. 15 - Evgeny Kissin",Brahms
sonata_147_1_(c)yogore,"Shostakovich: Sonata for Viola and Piano, Op.147 - 1. Moderato",
strings_11-1_(c)onclassical,"Johannes Brahms - Serenade No.1 in D-major, Op.11 (1857)",Brahms
valse_70_2_(c)dery,"Chopin Valse Op.70 No.2 Paul Barton, FEURICH piano",Chopin
hungarian_dance_14_(c)yogore,Brahms: Hungarian Dance No.14 In D Minor,Brahms
symphony_5_1_(c)lucarelli,"Beethoven -5th Symphony, 1st movement: Allegro Con Brío",Beethoven
quartet_41-3_2_(c)onclassical,"Robert Schumann - String Quartet No.3, Op. 41/3 (with score)",Schumann
